,Representative,ReportDate,TransactionDate,Ticker,Transaction,Range,House,Amount,Party,last_modified,return_after_trade
226,Shelley Moore Capito,2024-02-14,2024-01-19,ES,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-02-14,2.7339599036952755
227,Shelley Moore Capito,2024-02-14,2024-01-19,ENB,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-02-14,2.0401933787022477
228,Robert E. Latta,2024-02-14,2024-01-22,FMAO,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-02-16,4.835684148069718
229,Kevin Hern,2024-02-11,2024-01-31,JPM,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-02-12,0.0
230,Kevin Hern,2024-02-11,2024-01-12,COST,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-02-12,0.0
231,Kevin Hern,2024-02-11,2024-01-02,EXAS,Sale,"$1,001 - $15,000",Representatives,1001.0,R,2024-02-12,0.0
232,Kevin Hern,2024-02-11,2024-01-02,VUZI,Sale,"$1,001 - $15,000",Representatives,1001.0,R,2024-02-12,0.0
233,Dan Sullivan,2024-02-09,2024-01-24,RPM,Sale (Partial),"$15,001 - $50,000",Senate,15001.0,R,2024-02-10,0.0
234,James Calhoun,2024-02-06,2024-02-02,AFRM,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-02-07,2.717016571227503
235,James Calhoun,2024-02-06,2024-02-01,IBM,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-02-07,0.17992575348432996
236,Kathy Manning,2024-02-06,2024-01-23,INTU,Sale,"$15,001 - $50,000",Representatives,15001.0,D,2024-02-07,1.2387840812854178
237,Kathy Manning,2024-02-06,2024-01-23,CAT,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,0.2695820258728011
238,Kathy Manning,2024-02-06,2024-01-23,MSFT,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,2.1110256146264015
239,Kathy Manning,2024-02-06,2024-01-23,JPM,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,0.1884560598304854
240,Kathy Manning,2024-02-06,2024-01-23,CAT,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,0.2695820258728011
241,Kathy Manning,2024-02-06,2024-01-23,AON,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,0.3490404405860779
242,Kathy Manning,2024-02-06,2024-01-23,MRK,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,0.46500944203737554
243,Kathy Manning,2024-02-06,2024-01-23,GIS,Sale,"$15,001 - $50,000",Representatives,15001.0,D,2024-02-07,-1.7275994369099812
244,Kathy Manning,2024-02-06,2024-01-23,ACN,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,0.5346810047119407
245,Kathy Manning,2024-02-06,2024-01-23,MSFT,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,2.1110256146264015
246,Kathy Manning,2024-02-06,2024-01-23,CAT,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,0.2695820258728011
247,Kathy Manning,2024-02-06,2024-01-23,ACN,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,0.5346810047119407
248,Kathy Manning,2024-02-06,2024-01-23,MDT,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,-0.6610374011641652
249,Kathy Manning,2024-02-06,2024-01-23,MRK,Purchase,"$15,001 - $50,000",Representatives,15001.0,D,2024-02-07,0.46500944203737554
250,Kathy Manning,2024-02-06,2024-01-23,COST,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,1.2647971338145974
251,Kathy Manning,2024-02-06,2024-01-23,LMT,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,0.7377898598014138
252,Kathy Manning,2024-02-06,2024-01-23,WMT,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,-0.25322437510041634
253,Kathy Manning,2024-02-06,2024-01-23,AAPL,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,0.058109143464454394
254,Kathy Manning,2024-02-06,2024-01-23,MA,Purchase,"$15,001 - $50,000",Representatives,15001.0,D,2024-02-07,0.3061897203277687
255,Kathy Manning,2024-02-06,2024-01-23,WMT,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,-0.25322437510041634
256,Kathy Manning,2024-02-06,2024-01-23,MU,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,0.673758516672527
257,Kathy Manning,2024-02-06,2024-01-23,GIS,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,-1.7275994369099812
258,Kathy Manning,2024-02-06,2024-01-23,AAPL,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,0.058109143464454394
259,Kathy Manning,2024-02-06,2024-01-23,MSCI,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,1.4828187083870275
260,Kathy Manning,2024-02-06,2024-01-23,MA,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,0.3061897203277687
261,Kathy Manning,2024-02-06,2024-01-23,ACN,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,0.5346810047119407
262,Kathy Manning,2024-02-06,2024-01-23,COST,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,1.2647971338145974
263,Kathy Manning,2024-02-06,2024-01-23,GOOGL,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,0.9992971003642838
264,Kathy Manning,2024-02-06,2024-01-23,CRM,Purchase,"$15,001 - $50,000",Representatives,15001.0,D,2024-02-07,1.0530769712869112
265,Kathy Manning,2024-02-06,2024-01-23,AON,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,0.3490404405860779
266,Kathy Manning,2024-02-06,2024-01-23,CFG,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,-0.7292372952079711
267,Kathy Manning,2024-02-06,2024-01-23,SBUX,Sale,"$15,001 - $50,000",Representatives,15001.0,D,2024-02-07,-0.3762941541148889
268,Kathy Manning,2024-02-06,2024-01-23,NKE,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-07,1.1499856721146338
