Representative,ReportDate,TransactionDate,Ticker,Transaction,Range,House,Amount,Party,last_modified
Jared Moskowitz,2024-01-22,2023-12-28,JKHY,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-01-23
Jared Moskowitz,2024-01-22,2023-12-28,MDT,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-01-23
Jared Moskowitz,2024-01-22,2023-12-28,MRK,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-01-23
Jared Moskowitz,2024-01-22,2023-12-28,MRK,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-01-23
Jared Moskowitz,2024-01-22,2023-12-28,HRL,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-01-23
Jared Moskowitz,2024-01-22,2023-12-14,SBCF,Sale,"$15,001 - $50,000",Representatives,15001.0,D,2024-01-23
Jared Moskowitz,2024-01-22,2023-12-14,SBCF,Sale,"$15,001 - $50,000",Representatives,15001.0,D,2024-01-23
Judy Chu,2024-01-21,2024-01-10,AMEH,Purchase,"$100,001 - $250,000",Representatives,100001.0,D,2024-01-22
Judy Chu,2024-01-21,2024-01-10,AMEH,Sale,"$100,001 - $250,000",Representatives,100001.0,D,2024-01-22
Rick Scott,2024-01-19,2023-12-20,VAXX,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-01-20
Rick Scott,2024-01-19,2023-12-20,VAXX,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-01-20
Rick Scott,2024-01-19,2023-12-20,VAXX,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-01-20
Rick Larsen,2024-01-19,2024-01-09,ZTS,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-01-22
Rick Larsen,2024-01-19,2024-01-09,BMY,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-01-22
Rick Larsen,2024-01-19,2024-01-09,CL,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-01-22
Rick Larsen,2024-01-19,2024-01-09,HSY,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-01-22
Sheldon Whitehouse,2024-01-18,2023-12-14,SNOW,Purchase,"$1,001 - $15,000",Senate,1001.0,D,2024-01-18
Sheldon Whitehouse,2024-01-18,2023-12-14,LLY,Purchase,"$1,001 - $15,000",Senate,1001.0,D,2024-01-18
Sheldon Whitehouse,2024-01-18,2023-12-11,PFE,Sale (Full),"$1,001 - $15,000",Senate,1001.0,D,2024-01-18
Sheldon Whitehouse,2024-01-18,2023-12-07,KO,Purchase,"$1,001 - $15,000",Senate,1001.0,D,2024-01-18
Sheldon Whitehouse,2024-01-18,2023-12-07,TGT,Sale (Full),"$15,001 - $50,000",Senate,15001.0,D,2024-01-18
Jerry Moran,2024-01-17,2023-12-14,DVA,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-01-17
Jerry Moran,2024-01-17,2023-12-14,AAPL,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-01-17
Jerry Moran,2024-01-17,2023-12-14,PII,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-01-17
Jerry Moran,2024-01-17,2023-12-14,META,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-01-17
Jerry Moran,2024-01-17,2023-12-14,JNJ,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-01-17
Jerry Moran,2024-01-17,2023-12-14,XOM,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-01-17
Jerry Moran,2024-01-17,2023-12-14,CSCO,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-01-17
Jerry Moran,2024-01-17,2023-12-14,GOOG,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-01-17
Jerry Moran,2024-01-17,2023-12-14,INTC,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-01-17
Jerry Moran,2024-01-17,2023-12-14,PII,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-01-17
Jerry Moran,2024-01-17,2023-12-14,CSCO,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-01-17
Jerry Moran,2024-01-17,2023-12-14,BRK.B,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2024-01-17
Jerry Moran,2024-01-17,2023-12-14,PFE,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-01-17
Jerry Moran,2024-01-17,2023-12-14,CVS,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-01-17
Jerry Moran,2024-01-17,2023-12-14,MSFT,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-01-17
Jerry Moran,2024-01-17,2023-12-14,GOOG,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-01-17
Jerry Moran,2024-01-17,2023-12-14,AMZN,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-01-17
Jerry Moran,2024-01-17,2023-12-14,USB,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-01-17
Jerry Moran,2024-01-17,2023-12-14,CI,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-01-17
Jerry Moran,2024-01-17,2023-12-14,CVX,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-01-17
Jerry Moran,2024-01-17,2023-12-14,XOM,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-01-17
Jerry Moran,2024-01-17,2023-12-14,KR,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-01-17
Jerry Moran,2024-01-17,2023-12-14,CI,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-01-17
Jerry Moran,2024-01-17,2023-12-14,VZ,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-01-17
Jerry Moran,2024-01-17,2023-12-14,JNJ,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-01-17
Jerry Moran,2024-01-17,2023-12-14,CMCSA,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-01-17
Jerry Moran,2024-01-17,2023-12-14,BRK.B,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2024-01-17
Jerry Moran,2024-01-17,2023-12-14,CVS,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-01-17
Jerry Moran,2024-01-17,2023-12-14,BAC,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-01-17
Jerry Moran,2024-01-17,2023-12-14,KR,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-01-17
Jerry Moran,2024-01-17,2023-12-14,VZ,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-01-17
Jerry Moran,2024-01-17,2023-12-14,BK,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-01-17
Jerry Moran,2024-01-17,2023-12-14,CVX,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-01-17
Jerry Moran,2024-01-17,2023-12-14,KMB,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-01-17
Jerry Moran,2024-01-17,2023-12-14,USB,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-01-17
Jerry Moran,2024-01-17,2023-12-14,AAPL,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-01-17
Jerry Moran,2024-01-17,2023-12-14,BAC,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-01-17
Jerry Moran,2024-01-17,2023-12-14,META,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-01-17
Jerry Moran,2024-01-17,2023-12-14,MSFT,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-01-17
Jerry Moran,2024-01-17,2023-12-14,KMB,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-01-17
Jerry Moran,2024-01-17,2023-12-14,BK,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-01-17
Jerry Moran,2024-01-17,2023-12-14,HAL,Sale (Full),"$15,001 - $50,000",Senate,15001.0,R,2024-01-17
Jerry Moran,2024-01-17,2023-12-14,INTC,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-01-17
Jerry Moran,2024-01-17,2023-12-14,DVA,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-01-17
Jerry Moran,2024-01-17,2023-12-14,CMCSA,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-01-17
Mark Dr Green,2024-01-17,2024-01-11,NGL,Sale,"$100,001 - $250,000",Representatives,100001.0,R,2024-01-17
Dwight Evans,2024-01-17,2023-12-20,HASI,Sale,"$1,001 - $15,000",Representatives,1001.0,D,2024-01-22
Dwight Evans,2024-01-17,2023-12-20,NOW,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-01-22
Dwight Evans,2024-01-17,2023-12-20,MU,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-01-22
Mark Dr Green,2024-01-17,2023-12-06,ET,Sale,"$1,001 - $15,000",Representatives,1001.0,R,2024-01-17
Angus King,2024-01-16,2023-12-27,EA,Purchase,"$1,001 - $15,000",Senate,1001.0,I,2024-01-16
Angus King,2024-01-16,2023-12-27,VZ,Sale (Full),"$1,001 - $15,000",Senate,1001.0,I,2024-01-16
Kevin Hern,2024-01-13,2023-12-29,DVN,Purchase,"$15,001 - $50,000",Representatives,15001.0,R,2024-01-15
Kevin Hern,2024-01-13,2023-12-29,LMT,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-01-15
Kevin Hern,2024-01-13,2023-12-29,DVN,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-01-15
Kevin Hern,2024-01-13,2023-12-26,WMB,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-01-15
Kevin Hern,2024-01-13,2023-12-22,PXD,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-01-15
Kevin Hern,2024-01-13,2023-12-18,LIN,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-01-15
Kevin Hern,2024-01-13,2023-12-15,NEE,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-01-15
Kevin Hern,2024-01-13,2023-12-14,RTX,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-01-15
Kevin Hern,2024-01-13,2023-12-14,HD,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-01-15
Kevin Hern,2024-01-13,2023-12-14,HD,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-01-15
Kevin Hern,2024-01-13,2023-12-12,UNH,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-01-15
Kevin Hern,2024-01-13,2023-12-11,XOM,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-01-15
Kevin Hern,2024-01-13,2023-12-11,ROK,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-01-15
Kevin Hern,2024-01-13,2023-12-11,EMR,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-01-15
Kevin Hern,2024-01-13,2023-12-08,CCLD,Sale,"$1,001 - $15,000",Representatives,1001.0,R,2024-01-15
Kevin Hern,2024-01-13,2023-12-05,JNJ,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-01-15
Shelley Moore Capito,2024-01-12,2023-12-29,TFC,Sale (Partial),"$15,001 - $50,000",Senate,15001.0,R,2024-01-12
Shelley Moore Capito,2024-01-12,2023-12-19,MSFT,Sale (Partial),"$1,001 - $15,000",Senate,1001.0,R,2024-01-12
Shelley Moore Capito,2024-01-12,2023-12-19,AAPL,Sale (Partial),"$1,001 - $15,000",Senate,1001.0,R,2024-01-12
Shelley Moore Capito,2024-01-12,2023-12-19,ADI,Sale (Partial),"$1,001 - $15,000",Senate,1001.0,R,2024-01-12
Shelley Moore Capito,2024-01-12,2023-12-19,JPM,Sale (Partial),"$1,001 - $15,000",Senate,1001.0,R,2024-01-12
Shelley Moore Capito,2024-01-12,2023-12-19,ACN,Sale (Partial),"$1,001 - $15,000",Senate,1001.0,R,2024-01-12
Shelley Moore Capito,2024-01-12,2023-12-18,PFE,Sale (Partial),"$1,001 - $15,000",Senate,1001.0,R,2024-01-12
Shelley Moore Capito,2024-01-12,2023-12-18,MDLZ,Sale (Partial),"$1,001 - $15,000",Senate,1001.0,R,2024-01-12
Shelley Moore Capito,2024-01-12,2023-12-18,KO,Sale (Partial),"$1,001 - $15,000",Senate,1001.0,R,2024-01-12
Shelley Moore Capito,2024-01-12,2023-12-18,MSFT,Sale (Partial),"$1,001 - $15,000",Senate,1001.0,R,2024-01-12
Shelley Moore Capito,2024-01-12,2023-12-01,CSCO,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2024-01-12
Shelley Moore Capito,2024-01-12,2023-12-01,CMCSA,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2024-01-12
Shelley Moore Capito,2024-01-12,2023-12-01,SPGI,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2024-01-12
Shelley Moore Capito,2024-01-12,2023-12-01,CVX,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2024-01-12
Tommy Tuberville,2024-01-12,2023-12-26,KEY,Purchase,"$15,001 - $50,000",Senate,15001.0,R,2024-01-12
Tommy Tuberville,2024-01-12,2023-12-26,VZ,Sale (Partial),"$15,001 - $50,000",Senate,15001.0,R,2024-01-12
Tommy Tuberville,2024-01-12,2023-12-26,RF,Sale (Full),"$15,001 - $50,000",Senate,15001.0,R,2024-01-12
Tommy Tuberville,2024-01-12,2023-12-26,PARA,Purchase,"$15,001 - $50,000",Senate,15001.0,R,2024-01-12
Tommy Tuberville,2024-01-12,2023-12-19,UAA,Sale (Full),"$15,001 - $50,000",Senate,15001.0,R,2024-01-12
Tommy Tuberville,2024-01-12,2023-12-18,GOLD,Sale (Full),"$15,001 - $50,000",Senate,15001.0,R,2024-01-12
Tommy Tuberville,2024-01-12,2023-12-18,GOLD,Purchase,"$50,001 - $100,000",Senate,50001.0,R,2024-01-12
Tommy Tuberville,2024-01-12,2023-12-18,CVX,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-01-12
Tommy Tuberville,2024-01-12,2023-12-18,GOLD,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-01-12
Tommy Tuberville,2024-01-12,2023-12-18,CVX,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-01-12
Tommy Tuberville,2024-01-12,2023-12-14,CVX,Purchase,"$50,001 - $100,000",Senate,50001.0,R,2024-01-12
Tommy Tuberville,2024-01-12,2023-12-13,CVX,Purchase,"$100,001 - $250,000",Senate,100001.0,R,2024-01-12
Tommy Tuberville,2024-01-12,2023-12-12,GOLD,Purchase,"$15,001 - $50,000",Senate,15001.0,R,2024-01-12
Tommy Tuberville,2024-01-12,2023-12-12,DVA,Sale (Full),"$1,001 - $15,000",Senate,1001.0,R,2024-01-12
