,Representative,ReportDate,TransactionDate,Ticker,Transaction,Range,House,Amount,Party,last_modified,return_after_trade
423,Blake Moore,2024-01-24,2024-01-19,VUG,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-01-24,0.2355450805798926
410,Blake Moore,2024-01-24,2024-01-19,SPY,Purchase,"$15,001 - $50,000",Representatives,15001.0,R,2024-01-24,0.5438892542467083
429,Blake Moore,2024-01-24,2023-12-22,AAPL,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-01-24,-0.1696667511849293
399,Blake Moore,2024-01-24,2024-01-19,VUG,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-01-24,0.2355450805798926
359,Markwayne Mullin,2024-01-26,2024-01-04,AXON,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2024-01-28,0.0
347,Markwayne Mullin,2024-01-26,2024-01-04,ETN,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2024-01-28,0.0
348,Markwayne Mullin,2024-01-26,2024-01-04,FRPT,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2024-01-28,0.0
349,Markwayne Mullin,2024-01-26,2024-01-04,CYBR,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2024-01-28,0.0
350,Markwayne Mullin,2024-01-26,2024-01-04,AXON,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2024-01-28,0.0
351,Markwayne Mullin,2024-01-26,2024-01-04,OLLI,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2024-01-28,0.0
352,Markwayne Mullin,2024-01-26,2024-01-04,ZTS,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2024-01-28,0.0
354,Markwayne Mullin,2024-01-26,2024-01-04,BMI,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2024-01-28,0.0
355,Markwayne Mullin,2024-01-26,2024-01-04,SFM,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2024-01-28,0.0
356,Markwayne Mullin,2024-01-26,2024-01-04,BMI,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2024-01-28,0.0
357,Markwayne Mullin,2024-01-26,2024-01-04,FRPT,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2024-01-28,0.0
358,Markwayne Mullin,2024-01-26,2024-01-04,ELF,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2024-01-28,0.0
360,Markwayne Mullin,2024-01-26,2024-01-04,GS,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2024-01-28,0.0
353,Markwayne Mullin,2024-01-26,2024-01-04,ELF,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2024-01-28,0.0
362,Markwayne Mullin,2024-01-26,2024-01-04,ETN,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2024-01-28,0.0
373,Markwayne Mullin,2024-01-26,2024-01-02,LRCX,Purchase,"$15,001 - $50,000",Senate,15001.0,R,2024-01-28,0.0
372,Markwayne Mullin,2024-01-26,2024-01-02,AMAT,Purchase,"$15,001 - $50,000",Senate,15001.0,R,2024-01-28,0.0
371,Markwayne Mullin,2024-01-26,2024-01-02,NVDA,Purchase,"$15,001 - $50,000",Senate,15001.0,R,2024-01-28,0.0
370,Markwayne Mullin,2024-01-26,2024-01-02,ADBE,Purchase,"$15,001 - $50,000",Senate,15001.0,R,2024-01-28,0.0
369,Markwayne Mullin,2024-01-26,2024-01-02,AMD,Purchase,"$15,001 - $50,000",Senate,15001.0,R,2024-01-28,0.0
386,Thomas H. Kean Jr.,2024-01-26,2023-12-14,ORCL,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-01-29,0.0
385,Lindsey Graham,2024-01-26,2024-01-26,USFR,Purchase,"$15,001 - $50,000",Senate,15001.0,R,2024-01-26,0.0
367,Markwayne Mullin,2024-01-26,2024-01-02,AAPL,Purchase,"$50,001 - $100,000",Senate,50001.0,R,2024-01-28,0.0
368,Markwayne Mullin,2024-01-26,2024-01-02,META,Purchase,"$15,001 - $50,000",Senate,15001.0,R,2024-01-28,0.0
363,Markwayne Mullin,2024-01-26,2024-01-04,GS,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2024-01-28,0.0
361,Markwayne Mullin,2024-01-26,2024-01-04,CYBR,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2024-01-28,0.0
365,Markwayne Mullin,2024-01-26,2024-01-04,ZTS,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2024-01-28,0.0
366,Markwayne Mullin,2024-01-26,2024-01-04,OLLI,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2024-01-28,0.0
364,Markwayne Mullin,2024-01-26,2024-01-04,SFM,Purchase,"$1,001 - $15,000",Senate,1001.0,R,2024-01-28,0.0
345,Debbie Wasserman Schultz,2024-01-31,2024-01-08,MAG,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-01,4.212850792480056
342,Thomas R. Carper,2024-02-02,2024-01-02,DELL,Purchase,"$1,001 - $15,000",Senate,1001.0,D,2024-02-02,0.0
341,Thomas R. Carper,2024-02-02,2024-01-17,AES,Purchase,"$1,001 - $15,000",Senate,1001.0,D,2024-02-02,0.0
338,Thomas R. Carper,2024-02-02,2024-01-17,CME,Purchase,"$1,001 - $15,000",Senate,1001.0,D,2024-02-02,0.0
337,Thomas R. Carper,2024-02-02,2024-01-17,GBIL,Purchase,"$1,001 - $15,000",Senate,1001.0,D,2024-02-02,0.0
335,Thomas R. Carper,2024-02-02,2024-01-17,VLO,Purchase,"$1,001 - $15,000",Senate,1001.0,D,2024-02-02,0.0
334,Thomas R. Carper,2024-02-02,2024-01-17,GBIL,Purchase,"$1,001 - $15,000",Senate,1001.0,D,2024-02-02,0.0
332,Thomas R. Carper,2024-02-02,2024-01-17,ETRN,Purchase,"$1,001 - $15,000",Senate,1001.0,D,2024-02-02,0.0
340,Thomas R. Carper,2024-02-02,2024-01-17,SBUX,Purchase,"$1,001 - $15,000",Senate,1001.0,D,2024-02-02,0.0
322,Virginia Foxx,2024-02-05,2024-01-17,SCHX,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-02-06,0.32562544365878315
319,William R. Keating,2024-02-05,2024-01-24,PANW,Purchase,"$1,001 - $15,000",Representatives,1001.0,D,2024-02-06,-0.8679809151747252
320,Virginia Foxx,2024-02-05,2024-01-18,ET,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-02-06,-2.3759618631583357
321,Virginia Foxx,2024-02-05,2024-01-17,ET,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-02-06,-2.3759618631583357
324,Virginia Foxx,2024-02-05,2024-01-16,DUK$A,Purchase,"$1,001 - $15,000",Representatives,1001.0,R,2024-02-06,0.0
